protocol,ttl,success_rate,sr_std,mean_hops,std_hops,mean_messages,mean_mae,mean_utility,n_episodes
Epidemic,10,0.31,0.4636538303215659,8.475,2.725161928709639,48.525,0.8148387652809075,0.1319641255884586,200
Epidemic,20,0.37,0.48401586418620557,15.01,6.9339960706318315,65.355,0.8039004379454269,0.11062425746247952,200
Epidemic,30,0.32,0.4676467334823194,22.43,11.30149187465818,62.515,0.8239987342047628,0.11046664723275233,200
Epidemic,40,0.275,0.4476347667709811,30.835,15.040908203894801,67.64,0.7542490240360511,0.083550358529661,200
Heuristic-MADTSR,10,0.115,0.31982250102330834,6.585,3.709660754647636,6.7,0.7842004397214634,0.08968635016434547,200
Heuristic-MADTSR,20,0.115,0.31982250102330834,10.05,6.978610536856578,10.165,0.7630230777608275,0.07688634233971921,200
Heuristic-MADTSR,30,0.17,0.37657541771354464,9.42,7.658122104723472,9.59,0.804873710147668,0.10798108677467816,200
Heuristic-MADTSR,40,0.125,0.3315488246330816,9.535,8.614512413398856,9.66,0.7887764178661244,0.07634347628320935,200
RandomWalk,10,0.065,0.24714449621638404,6.515,3.592255069230477,6.58,0.7831616097964063,0.05227206945046135,200
RandomWalk,20,0.075,0.2640523018086611,9.895,7.1659422718311125,9.97,0.8409663296313572,0.048147213660495354,200
RandomWalk,30,0.06,0.23808279460185092,12.275,9.057015105047872,12.335,0.7610653883628454,0.02351846323579111,200
RandomWalk,40,0.085,0.27958152504364203,11.34,9.891593303935027,11.425,0.8406111201528325,0.049654253849854495,200
