protocol,success,hops,messages,match_error,utility,ttl,episode
Epidemic,0,10,22,,0.0,10,0.0
Epidemic,0,10,80,,0.0,10,1.0
Epidemic,0,10,47,,0.0,10,2.0
Epidemic,0,10,60,,0.0,10,3.0
Epidemic,0,10,22,,0.0,10,4.0
Epidemic,0,10,78,,0.0,10,5.0
Epidemic,1,6,47,0.5675247251742137,0.2619815282283126,10,6.0
Epidemic,1,6,56,0.9772527994639524,0.17198152822831259,10,7.0
Epidemic,0,10,1,,0.0,10,8.0
Epidemic,0,10,80,,0.0,10,9.0
Epidemic,0,10,81,,0.0,10,10.0
Epidemic,0,10,27,,0.0,10,11.0
Epidemic,0,10,81,,0.0,10,12.0
Epidemic,0,10,58,,0.0,10,13.0
Epidemic,1,5,14,0.7935699766683281,0.6310515858035664,10,14.0
Epidemic,1,8,76,0.7608006254493906,0.0,10,15.0
Epidemic,0,10,84,,0.0,10,16.0
Epidemic,0,10,78,,0.0,10,17.0
Epidemic,0,10,60,,0.0,10,18.0
Epidemic,1,6,54,0.825403078327161,0.1919815282283126,10,19.0
Epidemic,0,10,72,,0.0,10,20.0
Epidemic,0,10,64,,0.0,10,21.0
Epidemic,1,3,39,0.6648234550984353,0.46555919037101845,10,22.0
Epidemic,1,7,57,0.8851011493282883,0.12489119474291055,10,23.0
Epidemic,0,10,84,,0.0,10,24.0
Epidemic,0,10,75,,0.0,10,25.0
Epidemic,0,10,22,,0.0,10,26.0
Epidemic,1,7,61,0.7065021390317329,0.08489119474291063,10,27.0
Epidemic,0,10,47,,0.0,10,28.0
Epidemic,0,10,81,,0.0,10,29.0
Epidemic,0,10,60,,0.0,10,30.0
Epidemic,0,10,60,,0.0,10,31.0
Epidemic,0,10,78,,0.0,10,32.0
Epidemic,1,9,74,0.9315658165484803,0.0,10,33.0
Epidemic,0,10,38,,0.0,10,34.0
Epidemic,1,1,16,0.7663813258550081,0.7893288668428896,10,35.0
Epidemic,0,10,76,,0.0,10,36.0
Epidemic,0,10,72,,0.0,10,37.0
Epidemic,0,10,69,,0.0,10,38.0
Epidemic,0,10,81,,0.0,10,39.0
Epidemic,1,3,9,0.9759400723078907,0.7655591903710185,10,40.0
Epidemic,1,5,40,0.9365843071771669,0.37105158580356634,10,41.0
Epidemic,1,5,17,0.8522999156655556,0.6010515858035663,10,42.0
Epidemic,1,2,17,0.8420865093207064,0.7312252974212047,10,43.0
Epidemic,0,10,73,,0.0,10,44.0
Epidemic,1,5,46,0.5412956363710841,0.31105158580356634,10,45.0
Epidemic,0,10,22,,0.0,10,46.0
Epidemic,0,10,76,,0.0,10,47.0
Epidemic,0,10,0,,0.0,10,48.0
Epidemic,0,10,75,,0.0,10,49.0
Epidemic,0,10,58,,0.0,10,50.0
Epidemic,0,10,77,,0.0,10,51.0
Epidemic,1,3,14,0.9038520457764452,0.7155591903710184,10,52.0
Epidemic,0,10,0,,0.0,10,53.0
Epidemic,1,4,49,0.552229717151004,0.32220703671193895,10,54.0
Epidemic,1,6,40,0.9760285996433131,0.3319815282283126,10,55.0
Epidemic,1,1,16,0.957009469677034,0.7893288668428896,10,56.0
Epidemic,0,10,76,,0.0,10,57.0
Epidemic,0,10,27,,0.0,10,58.0
Epidemic,0,10,74,,0.0,10,59.0
Epidemic,0,10,72,,0.0,10,60.0
Epidemic,0,10,66,,0.0,10,61.0
Epidemic,0,10,69,,0.0,10,62.0
Epidemic,0,10,73,,0.0,10,63.0
Epidemic,0,10,47,,0.0,10,64.0
Epidemic,0,10,0,,0.0,10,65.0
Epidemic,0,10,3,,0.0,10,66.0
Epidemic,1,3,14,0.7228201970482949,0.7155591903710184,10,67.0
Epidemic,0,10,77,,0.0,10,68.0
Epidemic,0,10,78,,0.0,10,69.0
Epidemic,0,10,78,,0.0,10,70.0
Epidemic,0,10,1,,0.0,10,71.0
Epidemic,1,4,16,0.7146279854460366,0.6522070367119389,10,72.0
Epidemic,0,10,85,,0.0,10,73.0
Epidemic,0,10,38,,0.0,10,74.0
Epidemic,0,10,75,,0.0,10,75.0
Epidemic,0,10,72,,0.0,10,76.0
Epidemic,0,10,76,,0.0,10,77.0
Epidemic,0,10,72,,0.0,10,78.0
Epidemic,0,10,85,,0.0,10,79.0
Epidemic,0,10,81,,0.0,10,80.0
Epidemic,0,10,72,,0.0,10,81.0
Epidemic,1,2,4,0.43865264058712106,0.8612252974212047,10,82.0
Epidemic,1,3,39,0.8613487522550316,0.46555919037101845,10,83.0
Epidemic,0,10,73,,0.0,10,84.0
Epidemic,1,9,56,0.9013374988726455,0.06625352365755599,10,85.0
Epidemic,0,10,55,,0.0,10,86.0
