episode,reward,success,rho
1,-0.55,0,0.8
2,-0.74,0,0.796
3,-0.58,0,0.7920200000000001
4,0.6719815282283126,1,0.7880599
5,-0.7,0,0.7841196005000001
6,-0.55,0,0.7801990024975001
7,-0.5,0,0.7762980074850125
8,-0.54,0,0.7724165174475874
9,-0.78,0,0.7685544348603495
10,-0.52,0,0.7647116626860477
11,-0.77,0,0.7608881043726174
12,0.8255591903710184,1,0.7570836638507543
13,0.8255591903710184,1,0.7532982455315005
14,-0.61,0,0.749531754303843
15,-0.51,0,0.7457840955323238
16,-0.6799999999999999,0,0.7420551750546622
17,-0.67,0,0.738344899179389
18,-0.5700000000000001,0,0.734653174683492
19,0.9393288668428896,1,0.7309799088100746
20,-0.7,0,0.7273250092660242
21,-0.5700000000000001,0,0.7236883842196941
22,-0.6,0,0.7200699422985956
23,-0.53,0,0.7164695925871025
24,-0.52,0,0.712887244624167
25,-0.62,0,0.7093228084010461
26,-0.61,0,0.7057761943590409
27,-0.5,0,0.7022473133872458
28,-0.62,0,0.6987360768203096
29,-0.62,0,0.695242396436208
30,-0.53,0,0.6917661844540269
31,-0.53,0,0.6883073535317568
32,-0.63,0,0.684865816764098
33,-0.56,0,0.6814414876802775
34,-0.53,0,0.6780342802418761
35,0.4945205479701943,1,0.6746441088406667
36,-0.7,0,0.6712708882964634
37,0.8812252974212047,1,0.6679145338549811
38,-0.69,0,0.6645749611857062
39,-0.7,0,0.6612520863797777
40,-0.63,0,0.6579458259478789
41,-0.53,0,0.6546560968181395
42,0.5362535236575561,1,0.6513828163340488
43,-0.69,0,0.6481259022523785
44,-0.67,0,0.6448852727411166
45,-0.5,0,0.641660846377411
46,-0.71,0,0.638452542145524
47,-0.66,0,0.6352602794347965
48,-0.59,0,0.6320839780376225
49,-0.62,0,0.6289235581474344
50,-0.52,0,0.6257789403566972
51,-0.72,0,0.6226500456549138
52,-0.52,0,0.6195367954266392
53,0.5362535236575561,1,0.616439111449506
54,0.9393288668428896,1,0.6133569158922585
55,-0.54,0,0.6102901313127972
56,-0.5700000000000001,0,0.6072386806562332
57,-0.53,0,0.604202487252952
58,-0.61,0,0.6011814748166873
59,-0.7,0,0.5981755674426038
60,-0.71,0,0.5951846896053908
61,0.6248911947429105,1,0.5922087661573638
62,-0.72,0,0.5892477223265771
63,-0.53,0,0.5863014837149442
64,0.7722070367119389,1,0.5833699762963694
65,-0.59,0,0.5804531264148876
66,-0.67,0,0.5775508607828131
67,-0.52,0,0.5746631064788991
68,-0.8,0,0.5717897909465046
69,-0.58,0,0.5689308419917721
70,-0.65,0,0.5660861877818133
71,-0.64,0,0.5632557568429042
72,-0.5700000000000001,0,0.5604394780586897
73,-0.52,0,0.5576372806683962
74,-0.6799999999999999,0,0.5548490942650542
75,-0.77,0,0.5520748487937289
76,-0.75,0,0.5493144745497602
77,0.9393288668428896,1,0.5465679021770115
78,-0.66,0,0.5438350626661264
79,-0.56,0,0.5411158873527957
80,-0.8,0,0.5384103079160317
81,-0.5700000000000001,0,0.5357182563764515
82,-0.75,0,0.5330396650945692
83,-0.75,0,0.5303744667690964
84,-0.51,0,0.5277225944352509
85,-0.51,0,0.5250839814630747
86,-0.59,0,0.5224585615557593
87,-0.55,0,0.5198462687479806
88,-0.52,0,0.5172470374042406
89,-0.61,0,0.5146608022172194
90,0.9393288668428896,1,0.5120874982061333
91,-0.52,0,0.5095270607151027
92,-0.54,0,0.5069794254115272
93,-0.66,0,0.5044445282844695
94,-0.52,0,0.5019223056430472
95,-0.53,0,0.49941269411483197
96,-0.78,0,0.4969156306442578
97,0.4945205479701943,1,0.4944310524910365
98,-0.58,0,0.4919588972285813
99,-0.6,0,0.4894991027424384
100,0.8812252974212047,1,0.4870516072287262
101,-0.61,0,0.48461634919258256
102,-0.59,0,0.48219326744661967
103,-0.53,0,0.4797823011093866
104,-0.56,0,0.47738338960383964
105,-0.52,0,0.47499647265582046
106,0.9393288668428896,1,0.47262149029254136
107,-0.58,0,0.4702583828410786
108,-0.6799999999999999,0,0.4679070909268732
109,-0.66,0,0.4655675554722388
110,-0.53,0,0.46323971769487765
111,-0.67,0,0.4609235191064033
112,-0.53,0,0.45861890151087126
113,-0.67,0,0.4563258070033169
114,-0.53,0,0.45404417796830027
115,-0.65,0,0.45177395707845874
116,-0.6,0,0.44951508729306644
117,-0.61,0,0.44726751185660113
118,0.8255591903710184,1,0.44503117429731814
119,-0.55,0,0.44280601842583156
120,-0.63,0,0.4405919883337024
121,-0.64,0,0.43838902839203386
122,-0.51,0,0.43619708325007367
123,-0.53,0,0.4340160978338233
124,-0.62,0,0.43184601734465417
125,0.8255591903710184,1,0.4296867872579309
126,-0.64,0,0.42753835332164125
127,-0.5,0,0.42540066155503303
128,-0.53,0,0.4232736582472579
129,0.5362535236575561,1,0.4211572899560216
130,-0.52,0,0.4190515035062415
131,-0.58,0,0.4169562459887103
132,-0.52,0,0.41487146475876674
