protocol,success,hops,messages,match_error,utility,variant
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,8,9,0.8266195953103942,0.5696802704843891,SelfOrg-ON
RandomWalk,1,14,15,0.8266195953103942,0.33287377253122963,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,15,15,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,17,17,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,1,2,0.9162932242275591,0.9293288668428896,SelfOrg-ON
RandomWalk,0,7,7,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,16,16,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,17,17,,0.0,SelfOrg-ON
RandomWalk,0,10,10,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,18,19,0.7352932172931606,0.202193475893505,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,3,4,0.7797183343723784,0.8155591903710184,SelfOrg-ON
RandomWalk,0,8,8,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,16,16,,0.0,SelfOrg-ON
RandomWalk,0,17,17,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,12,12,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,20,21,0.9697743017821294,0.14345468195878017,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,10,10,,0.0,SelfOrg-OFF
Heuristic-MADTSR,1,2,3,0.5632440609084874,0.8712252974212047,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,0,11,11,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,7,7,,0.0,SelfOrg-ON
RandomWalk,0,17,17,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,16,16,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,12,12,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,20,20,,0.0,SelfOrg-ON
RandomWalk,1,18,19,0.7369609611503262,0.202193475893505,SelfOrg-OFF
Heuristic-MADTSR,1,8,9,0.9023423203073864,0.5696802704843891,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,14,14,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,16,16,,0.0,SelfOrg-ON
RandomWalk,0,12,12,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,14,14,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,0,0,,0.0,SelfOrg-ON
RandomWalk,0,0,0,,0.0,SelfOrg-OFF
Heuristic-MADTSR,0,19,19,,0.0,SelfOrg-ON
RandomWalk,0,20,20,,0.0,SelfOrg-OFF
