protocol,success,hops,messages,match_error,utility,variant
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,5,5,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,1,8,9,0.8706967918367612,0.5696802704843891,Softmin (eq.6)
Heuristic-MADTSR,0,19,19,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,19,19,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,11,11,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,5,5,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,19,19,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,8,8,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,1,2,0.798850098144008,0.9293288668428896,Deterministic (eq.5)
Heuristic-MADTSR,1,1,2,0.798850098144008,0.9293288668428896,Softmin (eq.6)
Heuristic-MADTSR,0,16,16,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,1,2,0.6672353458146422,0.9293288668428896,Deterministic (eq.5)
Heuristic-MADTSR,1,1,2,0.6672353458146422,0.9293288668428896,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,8,8,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,11,12,0.9114567277336296,0.4443955181193583,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,11,11,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,10,10,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,17,17,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,15,15,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,1,2,0.36000925558734265,0.9293288668428896,Deterministic (eq.5)
Heuristic-MADTSR,1,1,2,0.36000925558734265,0.9293288668428896,Softmin (eq.6)
Heuristic-MADTSR,0,1,1,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,1,1,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,1,2,0.9335540217908666,0.9293288668428896,Deterministic (eq.5)
Heuristic-MADTSR,1,1,2,0.9335540217908666,0.9293288668428896,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,16,16,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,19,19,,0.0,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,20,20,,0.0,Softmin (eq.6)
Heuristic-MADTSR,1,3,4,0.5560844302583358,0.8155591903710184,Deterministic (eq.5)
Heuristic-MADTSR,1,4,5,0.5560844302583358,0.7622070367119389,Softmin (eq.6)
Heuristic-MADTSR,0,20,20,,0.0,Deterministic (eq.5)
Heuristic-MADTSR,0,9,9,,0.0,Softmin (eq.6)
