protocol,success,hops,messages,match_error,utility,variant
RL-MADTSR,1,1,2,0.7803009403750543,0.9293288668428896,CoopExchange-ON
RL-MADTSR,1,1,2,0.7803009403750543,0.9293288668428896,CoopExchange-OFF
RL-MADTSR,1,12,13,0.6533436269602062,0.40579695766745594,CoopExchange-ON
RL-MADTSR,1,12,13,0.6533436269602062,0.40579695766745594,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,1,7,8,0.8740262051099388,0.6148911947429107,CoopExchange-ON
RL-MADTSR,1,7,8,0.8740262051099388,0.6148911947429107,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,5,5,,0.0,CoopExchange-ON
RL-MADTSR,0,5,5,,0.0,CoopExchange-OFF
RL-MADTSR,1,11,12,0.6901163012810905,0.4443955181193583,CoopExchange-ON
RL-MADTSR,1,11,12,0.6901163012810905,0.4443955181193583,CoopExchange-OFF
RL-MADTSR,0,8,8,,0.0,CoopExchange-ON
RL-MADTSR,0,8,8,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,15,15,,0.0,CoopExchange-ON
RL-MADTSR,0,15,15,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,1,10,11,0.8710031876058688,0.4845205479701943,CoopExchange-ON
RL-MADTSR,1,10,11,0.8710031876058688,0.4845205479701943,CoopExchange-OFF
RL-MADTSR,0,12,12,,0.0,CoopExchange-ON
RL-MADTSR,0,12,12,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,6,6,,0.0,CoopExchange-ON
RL-MADTSR,0,6,6,,0.0,CoopExchange-OFF
RL-MADTSR,1,10,11,0.6633477452889996,0.4845205479701943,CoopExchange-ON
RL-MADTSR,1,10,11,0.6633477452889996,0.4845205479701943,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,1,11,12,0.9450947129562505,0.4443955181193583,CoopExchange-ON
RL-MADTSR,1,11,12,0.9450947129562505,0.4443955181193583,CoopExchange-OFF
RL-MADTSR,0,11,11,,0.0,CoopExchange-ON
RL-MADTSR,0,11,11,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,20,20,,0.0,CoopExchange-ON
RL-MADTSR,0,20,20,,0.0,CoopExchange-OFF
RL-MADTSR,0,15,15,,0.0,CoopExchange-ON
RL-MADTSR,0,15,15,,0.0,CoopExchange-OFF
RL-MADTSR,0,1,1,,0.0,CoopExchange-ON
RL-MADTSR,0,1,1,,0.0,CoopExchange-OFF
RL-MADTSR,1,19,20,0.933443713391146,0.1723205880531552,CoopExchange-ON
RL-MADTSR,1,19,20,0.933443713391146,0.1723205880531552,CoopExchange-OFF
