protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
Epidemic,0,10,0,,0.0,100,10,0.5,0.0,l1,8925
RandomWalk,0,4,4,,0.0,100,10,0.5,0.0,l1,8925
Heuristic-MADTSR,0,4,4,,0.0,100,10,0.5,0.0,l1,8925
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,8925
Epidemic,0,20,0,,0.0,100,20,0.5,0.0,l1,8925
RandomWalk,0,6,6,,0.0,100,20,0.5,0.0,l1,8925
Heuristic-MADTSR,0,4,4,,0.0,100,20,0.5,0.0,l1,8925
RL-MADTSR,0,10,10,,0.0,100,20,0.5,0.0,l1,8925
Epidemic,0,30,0,,0.0,100,30,0.5,0.0,l1,8925
RandomWalk,0,5,5,,0.0,100,30,0.5,0.0,l1,8925
Heuristic-MADTSR,0,5,5,,0.0,100,30,0.5,0.0,l1,8925
RL-MADTSR,0,10,10,,0.0,100,30,0.5,0.0,l1,8925
Epidemic,0,40,0,,0.0,100,40,0.5,0.0,l1,8925
RandomWalk,0,6,6,,0.0,100,40,0.5,0.0,l1,8925
Heuristic-MADTSR,0,7,7,,0.0,100,40,0.5,0.0,l1,8925
RL-MADTSR,0,10,10,,0.0,100,40,0.5,0.0,l1,8925
Epidemic,0,10,1,,0.0,100,10,0.5,0.0,l1,77395
RandomWalk,0,4,4,,0.0,100,10,0.5,0.0,l1,77395
Heuristic-MADTSR,0,1,1,,0.0,100,10,0.5,0.0,l1,77395
RL-MADTSR,0,6,6,,0.0,100,10,0.5,0.0,l1,77395
Epidemic,0,20,1,,0.0,100,20,0.5,0.0,l1,77395
RandomWalk,0,1,1,,0.0,100,20,0.5,0.0,l1,77395
Heuristic-MADTSR,0,1,1,,0.0,100,20,0.5,0.0,l1,77395
RL-MADTSR,0,6,6,,0.0,100,20,0.5,0.0,l1,77395
Epidemic,0,30,1,,0.0,100,30,0.5,0.0,l1,77395
RandomWalk,0,10,10,,0.0,100,30,0.5,0.0,l1,77395
Heuristic-MADTSR,0,1,1,,0.0,100,30,0.5,0.0,l1,77395
RL-MADTSR,0,6,6,,0.0,100,30,0.5,0.0,l1,77395
Epidemic,0,40,1,,0.0,100,40,0.5,0.0,l1,77395
RandomWalk,0,1,1,,0.0,100,40,0.5,0.0,l1,77395
Heuristic-MADTSR,0,1,1,,0.0,100,40,0.5,0.0,l1,77395
RL-MADTSR,0,6,6,,0.0,100,40,0.5,0.0,l1,77395
Epidemic,0,10,5,,0.0,100,10,0.5,0.0,l1,65457
RandomWalk,0,0,0,,0.0,100,10,0.5,0.0,l1,65457
Heuristic-MADTSR,0,7,7,,0.0,100,10,0.5,0.0,l1,65457
RL-MADTSR,0,4,4,,0.0,100,10,0.5,0.0,l1,65457
Epidemic,0,20,5,,0.0,100,20,0.5,0.0,l1,65457
